#Table1
specobjid,ra,dec,plate,mjd,fiberid,z,h_beta_flux
1649451661569058816,207.18936,45.302664,1465,53082,30,0.2764856,313.8999
1571804425796741120,219.58602,41.946365,1396,53112,175,0.2737464,469.2579
1572991898472179712,221.57538,41.334168,1397,53119,399,0.2688065,149.0531
1554957433372174336,215.85612,38.67578,1381,53089,326,0.2489426,312.3458
3107659465466341376,217.421,17.587633,2760,54506,639,0.2248143,346.2589
335676809590892544,203.71013,1.0386142,298,51955,577,0.2455795,159.3883
346920960336619520,221.94595,0.92169045,308,51662,523,0.2963802,117.7394
590117545361565696,196.13765,3.2998381,524,52027,531,0.1853426,384.5011
591187924427499520,197.36529,3.3810566,525,52295,329,0.2657584,46.96118
2018815563928725504,194.81354,9.5344458,1793,53883,280,0.2743539,223.0222
1651870312825907200,212.88279,44.333601,1467,53115,637,0.2592131,67.73352
2041334936790657024,219.57005,7.5981089,1813,53903,285,0.1868422,502.7711
2041339609715075072,219.37696,7.8577728,1813,53903,302,0.2567506,180.3115
2046959774070761472,228.78096,6.9523258,1818,54539,268,0.2681072,592.9573
2024521753862105088,199.69639,9.7944619,1798,53851,559,0.2746552,86.26176
2262083061682300928,198.0921,29.629944,2009,53904,546,0.2466348,244.6292
2429723405663102976,230.30941,22.462186,2158,54209,114,0.136087,4356.603
2056029353162074112,215.17027,6.8498714,1826,53499,495,0.2375394,34.24898
2039038325670569984,215.44233,7.6523217,1811,53533,122,0.2306872,1004.002
2072868923363059712,216.66944,32.197761,1841,53491,317,0.2018719,518.0533
2073926103960938496,221.29225,30.832525,1842,53501,67,0.2753552,437.241
2277841536320301056,200.40359,35.931526,2023,53851,531,0.282989,480.0306
2520955649752328192,191.79946,29.65291,2239,53726,239,0.1934278,1505.347
351371508980934656,228.32586,1.1645862,312,51689,330,0.2171962,479.4295
608004674880038912,228.15441,1.4791213,540,51996,68,0.2648796,236.078
3324848472108066816,230.52113,1.4407265,2953,54560,240,0.1133047,528.8362
1176585239577782272,215.80913,50.92704,1045,52725,72,0.2754058,421.1496
1182332386789058560,228.43055,46.263143,1050,52721,500,0.1986541,724.2312
1438926515109652480,189.99405,49.094498,1278,52735,96,0.2353105,589.2418
1443416096366422016,201.23872,48.044825,1282,52759,45,0.2715582,136.7419
1445718748207015936,205.80273,47.231686,1284,52736,230,0.267134,385.2041
1448012879033821184,211.01745,46.702703,1286,52725,384,0.2369364,77.77452
2021116027600922624,197.44584,8.3300673,1795,54507,457,0.153836,4630.266
1854419053339240448,222.64602,32.685907,1647,53531,225,0.2384939,155.1494
2237290721411360768,192.22459,34.408189,1987,53765,464,0.2703313,213.1635
2258726520379959296,196.60401,34.026634,2006,53476,623,0.2805525,345.6085
2258727894769494016,196.80142,34.106259,2006,53476,628,0.1473606,495.8312
2930839303569303552,196.39372,18.32581,2603,54479,443,0.1182318,1080.492
1451408445969295360,220.74081,44.717114,1289,52734,449,0.2653963,82.51402
1643868067584829440,198.11266,41.105805,1460,53138,197,0.2694953,139.8595
2000892424448141312,208.60868,14.69765,1777,53857,612,0.2141182,299.8891
2269831043483723776,198.07396,35.255849,2016,53799,61,0.1829528,1984.522
2393686630222292992,213.46526,28.36807,2126,53794,85,0.2475406,246.484
2402744133509736448,216.5596,27.498891,2134,53876,268,0.2622485,268.1367
2406075384400472064,219.25626,26.671993,2137,54206,99,0.2184688,165.1788
2393799605042046976,213.3137,29.110495,2126,53794,496,0.2252883,205.0993
2398284239553456128,214.99816,28.784195,2130,53881,427,0.292812,281.8895
2415076261564016640,224.33865,26.188672,2145,54212,76,0.2296589,106.3263
3142529652946397184,224.66841,19.871848,2791,54556,520,0.222684,973.6503
3110928588430403584,221.28931,15.489814,2763,54507,244,0.2697569,133.9435
2946519439278893056,197.18278,19.07773,2617,54502,143,0.2217153,1593.179
3104147900255463424,210.90183,17.693373,2757,54509,152,0.2253893,317.9666
959438559167670272,202.96628,5.0626695,852,52375,625,0.1739949,100.2148
2027844208240388096,202.38033,7.4858845,1801,54156,358,0.2775687,128.327
594618671003887616,204.31633,3.1601795,528,52022,522,0.1922287,82.83208
1028058531074435072,206.21919,-1.2478612,913,52433,407,0.1779683,102.1598
1484002644329523200,194.66895,56.05945,1318,52781,242,0.2096186,268.3517
1909648614951512064,196.23715,13.47949,1696,53116,445,0.2983111,216.2386
1992858831230625792,193.15063,14.037225,1770,53171,58,0.2664749,457.1269
1993998205641058304,195.59635,14.102514,1771,53498,107,0.2852145,1963.768
1996278586281060352,198.89947,13.815704,1773,53112,211,0.1967043,393.8115
2983691728441075712,196.09536,20.919527,2650,54505,207,0.2825699,152.3747
382853830468986880,198.36448,-2.5424795,340,51990,174,0.1742078,102.635
1024614859716716544,202.13576,-2.5559602,910,52377,167,0.1839719,65.9139
384096823331022848,200.9698,-2.0171476,341,51690,600,0.2229706,485.5947
1026913939369256960,203.63852,-1.640393,912,52427,339,0.2922319,31.13124
1308315802599974912,220.24096,54.972772,1162,52668,73,0.230684,143.2007
1311807027483273216,227.75793,52.063923,1165,52703,486,0.2112526,410.2334
1311846335023966208,229.78055,52.101682,1165,52703,629,0.1378198,165.0982
1555005537005889536,216.95544,38.104921,1381,53089,501,0.2642231,1227.179
1557207859249309696,221.37341,36.770775,1383,53116,321,0.2460904,358.9481
1648431589807384576,203.43947,41.691037,1464,53091,415,0.2252122,359.2988
1553882110916323328,214.93653,39.221522,1380,53084,510,0.2762372,451.7043
1934317819902584832,227.88557,10.16476,1718,53850,79,0.2820169,452.3181
1934430794722338816,227.46747,11.179732,1718,53850,490,0.2848544,245.4682
2375652709895268352,203.6345,30.278655,2110,53467,14,0.2226619,98.33443
3121058114548295680,212.81968,19.744469,2772,54529,231,0.2385001,930.851
561890882198988800,215.69079,63.127557,499,51988,243,0.1605999,490.5209
683593081873786880,220.05318,61.942517,607,52368,625,0.2755408,1777.994
684703583802779648,222.92842,61.129961,608,52081,569,0.2965274,491.3932
663166349601695744,226.61018,3.1166448,589,52055,41,0.1729297,320.9311
662126486311954432,222.21994,3.9662994,588,52045,354,0.2864626,181.4231
961627961662924800,205.52738,5.089967,854,52373,398,0.2657104,1265.397
961689259436173312,207.44895,4.8677953,854,52373,621,0.1867498,341.4805
656536294486206464,213.77464,4.7628198,583,52055,497,0.2413322,218.3956
956051239794141184,196.3773,5.6642855,849,52439,590,0.2001507,254.5732
2288970236969379840,208.44586,35.724049,2033,53476,57,0.1894373,569.4219
2289052700341463040,206.7387,36.547601,2033,53476,357,0.2463993,596.792
2432065909750261760,231.09229,26.706561,2160,53885,444,0.2361374,324.7374
2073987676612093952,219.1087,31.551731,1842,53501,291,0.264246,97.20817
2269837915431397376,197.31001,34.752925,2016,53799,86,0.1946741,645.0529
2277748352709847040,199.63399,34.893811,2023,53851,192,0.2158535,539.6846
2243957610116048896,203.77717,34.209533,1993,53762,142,0.2207066,206.4684
2931907204321667072,198.28565,16.356917,2604,54484,232,0.2082254,504.2233
2928540219135256576,191.2451,17.549886,2601,54144,271,0.2630214,259.4819
