,z,snmedian_g,oiii_5007_flux,oiii_5007_eqw,h_beta_flux,h_beta_eqw,h_gamma_flux,h_gamma_eqw,sigma_balmer,e_bv_sfd,oiii/hb,hb/hg,oiii/hg
134,0.4144244,36.84444,1225.852,-14.85323,819.0699,-7.303505,565.0953,-5.366362,500.0,0.02098736,1.4966390536387677,1.4494367587201664,2.1692836588801927
135,0.05348795,36.37178,876.6531,-9.687435,2276.364,-15.99699,1263.183,-10.11903,500.0,0.01755651,0.38511112458288743,1.8020856835470396,0.6940032441855218
136,0.4980763,37.60687,249.477,-10.94297,557.34,-12.03965,232.5813,-6.070393,500.0,0.01577194,0.44762084185595863,2.396323350157558,1.0726442753566172
137,0.5256413,47.78228,421.6413,-5.08271,717.105,-6.350803,393.4597,-3.576271,500.0,0.02177914,0.5879770744869998,1.8225627681818495,1.0716251245044919
138,0.190513,35.25434,236.8772,-2.173908,367.7924,-4.141082,361.988,-4.438263,500.0,0.02776245,0.6440513724590285,1.0160347856835032,0.6543785981855752
139,0.1337497,41.87433,2310.751,-20.68782,3727.647,-19.79977,1729.409,-9.337962,500.0,0.02868453,0.6198953388021988,2.1554455886375057,1.3361506734381514
140,0.197447,46.57478,96.79306,-0.5780233,773.0198,-3.646176,666.3454,-3.372039,500.0,0.02654593,0.12521420537999156,1.160088746767067,0.14525959059670854
141,0.06568477,35.39371,31.21606,-0.3973758,21.2979,-0.2575647,1.348889,-0.04624651,500.0,0.03171784,1.4656872273792252,15.789216162338041,23.142052459468495
142,0.4374769,35.04813,319.203,-13.72001,253.4313,-6.09305,174.9112,-4.732561,500.0,0.02645691,1.2595247706183095,1.4489140775433476,1.8249431711634243
143,0.6628425,35.60535,186.321,-6.103955,546.873,-14.47545,235.1935,-5.95113,500.0,0.02689442,0.34070250314058287,2.325204565602366,0.7922030158146377
144,0.6521477,40.81689,1091.712,-22.71928,980.4846,-11.87088,487.3529,-6.869648,500.0,0.02455389,1.1134412513975231,2.011857526650606,2.2400851621073765
145,0.05198583,35.36831,40.99868,-0.319189,32.74929,-0.2413831,-11.13483,0.2672602,500.0,0.02963383,1.2518952319271655,-2.9411576108481228,-3.6820211893670582
146,0.05209216,35.79347,26.182,-0.3141567,116.535,-0.9988101,113.1007,-1.372746,500.0,0.03632782,0.22467069978976273,1.0303649756367554,0.2314928201151717
147,0.6268156,40.99605,368.3536,-8.713516,324.1736,-4.908848,235.1172,-3.612614,500.0,0.04278656,1.1362850028503244,1.3787745005469614,1.5666807872839588
148,0.05574698,37.61929,38.95108,-0.5615697,47.10873,-0.4356185,28.25508,-0.3909745,500.0,0.03816396,0.8268335826501796,1.6672658509549434,1.3785513967753762
149,0.06307887,42.46489,40.0092,-0.5836904,39.52322,-0.5260484,25.05414,-0.4725533,500.0,0.04754315,1.0122960629219988,1.5775125388458755,1.5969097322837662
150,0.06470897,43.98753,13.40904,-0.2000113,0.7176209,-0.05649709,8.017146,-0.1820484,500.0,0.04999544,18.685408967325227,0.08951076854531526,1.6725453172488063
151,0.06201788,53.15006,23.36788,-0.458827,21.97251,-0.2483293,33.60537,-0.5086417,468.9312,0.05555102,1.0635052618021337,0.6538392524766131,0.6953614853816518
152,0.1322984,64.02676,445.8352,-8.004777,1274.526,-15.90344,641.8747,-8.113339,500.0,0.0506738,0.34980471171243266,1.9856305288243954,0.6945829147028229
153,0.06347251,44.66609,34.77575,-0.4766747,23.01826,-0.4293922,12.29553,-0.2923657,500.0,0.07197216,1.5107896947901363,1.8720835946071461,2.828324602518151
154,0.09166554,51.56757,3762.322,-34.60942,1084.483,-5.900719,929.4779,-5.006935,500.0,0.03551636,3.4692309607435066,1.1667657724836706,4.047779941836164
155,0.1244479,47.32788,660.315,-8.934897,808.6858,-5.983191,511.2833,-4.543216,500.0,0.06539792,0.8165284959869459,1.5816784940951523,1.291485561918412
156,0.2407427,48.28221,1036.604,-4.510466,1351.735,-4.530081,1134.435,-3.70849,500.0,0.03843554,0.7668692458211115,1.191549097127645,0.9137623574731034
157,0.3636065,37.13354,1581.342,-26.06245,602.8087,-6.038949,377.997,-4.268349,500.0,0.01770588,2.623289942563868,1.5947446672857193,4.183477646647989
158,0.07809116,44.92229,4076.676,-30.26341,5256.383,-22.08883,2686.988,-12.81935,500.0,0.01029091,0.7755667728169732,1.9562361275897027,1.5171917403427184
159,0.204809,40.06262,755.3818,-7.415027,2409.323,-16.9973,1124.563,-8.180568,500.0,0.02150116,0.3135245046015001,2.142452668280923,0.6717114114549384
160,0.2527351,45.6013,1366.708,-8.04793,2892.682,-12.84545,1262.231,-6.00423,500.0,0.04490913,0.4724708765083753,2.2917215628518073,1.0827716955137372
